,Date,Price,Open,High,Low,Change %,Target
331,"Jul 23, 2018",1.1692,1.173,1.1752,1.1682,-0.24,0
332,"Jul 20, 2018",1.172,1.1644,1.174,1.1626,0.66,1
333,"Jul 19, 2018",1.1643,1.1639,1.168,1.1574,0.03,1
334,"Jul 18, 2018",1.1639,1.166,1.1665,1.1601,-0.19,0
335,"Jul 17, 2018",1.1661,1.1711,1.1746,1.165,-0.42,0
336,"Jul 16, 2018",1.171,1.1676,1.1726,1.1674,0.21,1
337,"Jul 13, 2018",1.1685,1.1669,1.1688,1.161,0.11,1
338,"Jul 12, 2018",1.1672,1.1674,1.1697,1.1648,-0.02,0
339,"Jul 11, 2018",1.1674,1.1745,1.176,1.1665,-0.6,0
340,"Jul 10, 2018",1.1744,1.1751,1.1764,1.169,-0.06,0
341,"Jul 09, 2018",1.1751,1.1748,1.1792,1.1731,0.03,1
342,"Jul 06, 2018",1.1747,1.169,1.1769,1.1679,0.48,1
343,"Jul 05, 2018",1.1691,1.1655,1.1722,1.1649,0.3,1
344,"Jul 04, 2018",1.1656,1.1658,1.1684,1.1629,-0.01,0
345,"Jul 03, 2018",1.1657,1.1641,1.1675,1.1621,0.14,1
346,"Jul 02, 2018",1.1641,1.1651,1.1699,1.159,-0.38,0
347,"Jun 29, 2018",1.1685,1.1569,1.1692,1.1558,1.0,1
348,"Jun 28, 2018",1.1569,1.1555,1.1602,1.1527,0.13,1
349,"Jun 27, 2018",1.1554,1.1647,1.1674,1.1541,-0.8,0
350,"Jun 26, 2018",1.1647,1.1704,1.1722,1.1635,-0.49,0
351,"Jun 25, 2018",1.1704,1.1659,1.1715,1.1627,0.4,1
352,"Jun 22, 2018",1.1657,1.1604,1.1677,1.16,0.47,1
353,"Jun 21, 2018",1.1603,1.1572,1.1635,1.1509,0.27,1
354,"Jun 20, 2018",1.1572,1.159,1.1602,1.1537,-0.16,0
355,"Jun 19, 2018",1.159,1.1624,1.1646,1.153,-0.28,0
